,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
199,0.8934,Fri Sep 21 07:48:00 +0000 2018,0.0,0.592,0.408,200,"RT @BBC6Music: Have you heard this year’s @MercuryPrize winning album?

📼 Visions of a live show: Watch Mercury Prize winners Wolf Alice’s…",@BBC
198,0.0,Fri Sep 21 07:55:01 +0000 2018,0.0,1.0,0.0,199,✈️Airline Cathay Pacific has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/rY5SsBEsuf,@BBC
197,0.0,Fri Sep 21 09:02:06 +0000 2018,0.0,1.0,0.0,198,"😳🌬👕 Extreme Laundry is NOT for the faint hearted... 

https://t.co/1N9jAKP2c4",@BBC
196,0.0,Fri Sep 21 10:02:06 +0000 2018,0.0,1.0,0.0,197,".@StaceyDooley meets the family prepping for the apocalypse. (Via @BBCThree) 

https://t.co/IZE9vJTDCy",@BBC
195,0.5859,Fri Sep 21 11:02:04 +0000 2018,0.0,0.759,0.241,196,"😍🐶👮 Meet the cutest and newest recruits for Chile's national police force...

https://t.co/zbJZRdrUbD",@BBC
194,-0.1779,Fri Sep 21 13:01:07 +0000 2018,0.159,0.841,0.0,195,"We're officially obsessed with Hansel the armadillo. 😍@katehumble #AnimalPark 

 https://t.co/C7i5hEMPMG",@BBC
193,0.4926,Fri Sep 21 14:00:14 +0000 2018,0.076,0.76,0.164,194,"“I basically invented Come Dine With Me!” 😂

10 things you didn’t know about @petercrouch ➡️… https://t.co/CZGm2Rqm7I",@BBC
192,0.0,Fri Sep 21 15:02:03 +0000 2018,0.0,1.0,0.0,193,"We'd totally swipe right for a @Drake and @joshgroban collaboration! 🎶🎤

https://t.co/hpCSuIRqcB",@BBC
191,0.802,Fri Sep 21 15:41:21 +0000 2018,0.0,0.699,0.301,192,"RT @bbc5live: Today, we said goodbye to our dear colleague and friend Rachael Bland.
 
#RaiseAGlassToRach is our way of giving a big burst…",@BBC
190,0.3612,Fri Sep 21 16:01:00 +0000 2018,0.0,0.815,0.185,191,Jumping into the weekend like... 😼 #FridayFeeling https://t.co/vdWEXCzlSI,@BBC
189,0.836,Fri Sep 21 17:03:01 +0000 2018,0.0,0.695,0.305,190,"""Working on this project has been a tremendous labour of love"" 📖💕🥘

Meghan Markle celebrated the launch of her Gren… https://t.co/vbPiUJw3sr",@BBC
188,0.2481,Fri Sep 21 18:03:06 +0000 2018,0.0,0.895,0.105,189,"""Everybody will see this and think that I'm a trillionaire!""

After students gave their university cleaner £1,500 s… https://t.co/n2N1cHJky0",@BBC
