,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
199,0.1867,Fri Jun 22 21:19:06 +0000 2018,0.0,0.902,0.098,200,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,@CBS
198,0.5574,Mon Jun 25 18:20:25 +0000 2018,0.0,0.796,0.204,199,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,@CBS
197,0.7574,Wed Jun 27 14:00:01 +0000 2018,0.0,0.711,0.289,198,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",@CBS
196,0.0,Wed Jun 27 20:31:32 +0000 2018,0.0,1.0,0.0,197,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,@CBS
195,0.5411,Mon Jul 02 17:00:02 +0000 2018,0.0,0.741,0.259,196,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",@CBS
194,0.0,Mon Jul 02 17:27:06 +0000 2018,0.0,1.0,0.0,195,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,@CBS
193,0.0,Mon Jul 02 20:47:32 +0000 2018,0.0,1.0,0.0,194,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,@CBS
192,0.3182,Mon Jul 02 21:13:11 +0000 2018,0.0,0.892,0.108,193,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",@CBS
191,0.3612,Thu Jul 05 21:12:17 +0000 2018,0.0,0.898,0.102,192,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,@CBS
190,0.8622,Fri Jul 06 18:26:37 +0000 2018,0.0,0.61,0.39,191,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,@CBS
189,0.4019,Fri Jul 06 22:22:55 +0000 2018,0.0,0.847,0.153,190,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",@CBS
188,0.3182,Mon Jul 09 18:09:00 +0000 2018,0.0,0.897,0.103,189,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",@CBS
187,-0.3818,Mon Jul 09 18:53:34 +0000 2018,0.106,0.894,0.0,188,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",@CBS
186,0.0,Mon Jul 09 23:55:07 +0000 2018,0.0,1.0,0.0,187,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,@CBS
