,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
199,0.0,Tue Oct 02 15:15:08 +0000 2018,0.0,1.0,0.0,200,"After the Ivy League changed its kickoff rules in 2016, adjusting the kickoff and touchback lines by just five yard… https://t.co/HsMtMQKylJ",@nytimes
198,0.0,Tue Oct 02 15:30:13 +0000 2018,0.0,1.0,0.0,199,RT @karenyourish: Just four of more than two dozen potential witnesses were on the Republicans’ initial list to the FBI. https://t.co/Vz0dl…,@nytimes
197,0.25,Tue Oct 02 15:45:05 +0000 2018,0.0,0.905,0.095,198,"Time’s Up, the initiative created by women in Hollywood in response to the #MeToo movement, named Lisa Borders, pre… https://t.co/UKIQYEuDcA",@nytimes
196,-0.4939,Tue Oct 02 16:00:11 +0000 2018,0.138,0.862,0.0,197,"RT @nytimesbooks: A Ted Talk leads to a confession — ""my mother was a heroin addict"" — which leads to a graphic memoir by Jarrett J. Krosoc…",@nytimes
195,0.0,Tue Oct 02 16:10:04 +0000 2018,0.0,1.0,0.0,196,"The FBI has completed its interview of Mark Judge. In a statement, Judge's lawyer said, “Mr. Judge completed his FB… https://t.co/FbpaysTbBh",@nytimes
194,0.0,Tue Oct 02 16:20:03 +0000 2018,0.0,1.0,0.0,195,"RT @nytopinion: The new leading presidential candidate in the polls in Brazil is a former military officer, Jair Bolsonaro, a far-right can…",@nytimes
193,0.0,Tue Oct 02 16:30:11 +0000 2018,0.0,1.0,0.0,194,"Tesla said Tuesday that it produced 80,142 cars in the 3rd quarter, a 50% rise from the 2nd quarter https://t.co/t6K5iAxKKi",@nytimes
192,0.0,Tue Oct 02 16:40:07 +0000 2018,0.0,1.0,0.0,193,"RT @Nate_Cohn: Arizona 2, final. Kirkpatrick (D) 50, Marquez Peterson (R) 39
This seat was already thought to lean Democratic, though there…",@nytimes
191,-0.6908,Tue Oct 02 16:50:04 +0000 2018,0.231,0.769,0.0,192,Before and after photos show the destruction left in the wake of an earthquake and resulting tsunami that struck In… https://t.co/en0SsepBam,@nytimes
190,0.8658,Tue Oct 02 17:00:12 +0000 2018,0.0,0.65,0.35,191,"RT @patrickhealynyt: Pretty cool: Alex Burns, one of our best NY Times political reporters, is texting first-hand insights, intel &amp; experie…",@nytimes
189,0.5859,Tue Oct 02 17:10:02 +0000 2018,0.0,0.769,0.231,190,Plants. A fresh coat of paint. Mementos. Here's how recent college graduates make shoe-box-size spaces feel like ho… https://t.co/REeASBGj20,@nytimes
188,0.5719,Tue Oct 02 17:25:02 +0000 2018,0.0,0.837,0.163,189,"Saving money, especially right after college, seems impossible. But the sooner you start, the easier it is. We prom… https://t.co/G52mYPrQvS",@nytimes
187,0.0,Tue Oct 02 17:35:02 +0000 2018,0.0,1.0,0.0,188,RT @nytvideo: About 70 percent of immigrants in U.S. prisons are being overseen by privately held companies. How did this happen? @RetroRep…,@nytimes
186,0.0258,Tue Oct 02 17:45:08 +0000 2018,0.071,0.853,0.076,187,"In an election year that has included alarming portents of global warming, the one place that climate change rarely… https://t.co/urPRErl29O",@nytimes
185,0.3818,Tue Oct 02 17:50:04 +0000 2018,0.0,0.894,0.106,186,RT @rudoren: ‘What the (Insert Extreme Word of Choice) Is Going On Over There?’   The imitable ⁦@sarahlyall⁩ helps readers outside the US u…,@nytimes
